surface_tension,molecular_formula,density_liquid,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,C,Br,Cl,F,N,O,H,I,S,Si,Al,Ga,P,B,molecular_weight
8.49,C2H2O,0.66,18.245,19.39,0.0032438,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.036767
33.43,C2H2O2,1.1305,27.393,27.227,0.0016858,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.03617199999999
22.71,C2H3Br,1.4933,24.192,24.716,0.0012713,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.948803
43.14,C2H3Br3,2.6138,40.162,42.029,0.00088334,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.75580299999996
44.36,C2H3Br3,2.6138,40.486,44.469,0.00088334,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.75580299999996
15.84,C2H3Cl,0.903,21.477,22.823,0.0016165,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.498203000000004
11.28,C2H3ClF2,1.1078,21.828,22.457,0.0023144,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.495009326
21.71,C2H3ClF2,1.1112,25.964,23.918,0.0015358,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.495009326
21.72,C2H3ClF2,1.1112,25.969,26.386,0.0015351,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.495009326
25.34,C2H3ClO,1.102,27.523,30.055,0.0013781,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.497608
39.15,C2H3ClO,1.2,30.624,34.104,0.0012487,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.497608
31.51,C2H3ClO2,1.213,29.267,33.681,0.0013133,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.49701299999998
18.47,C2H3Cl2F,1.2223,25.668,25.769,0.0015375,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.949506163
25.58,C2H3Cl2F,1.295,27.477,26.123,0.0013585,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.949506163
34.01,C2H3Cl2F,1.3736,29.762,29.902,0.0011471,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.949506163
25.02,C2H3Cl3,1.33,29.594,29.839,0.0013066,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.404003
33.75,C2H3Cl3,1.435,33.317,34.62,0.0012569,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.404003
20.59,C2H3Cl3Si,1.2344,31.357,31.048,0.0013265,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,161.48950299999998
3.01,C2H3F,0.615,16.219,18.322,0.0063028,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.043706162999996
4.59,C2H3F3,1.078,18.448,19.459,0.005488,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.040512489
7.98,C2H3F3O,1.3602,20.587,20.425,0.0026459,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.039917489
26.82,C2H3I,2.08,27.914,27.71,0.0012915,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,153.949773
28.66,C2H3N,0.779,30.306,30.299,0.0011843,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.052006000000006
50.89,C2H3N,0.7424,30.306,29.02,0.0014361,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.052006000000006
26.2,C2H3NO,0.926,26.34,26.775,0.0015555,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.051411
34.87,C2H3NO,1.0011,30.763,39.687,0.00096068,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.051411
40.66,C2H3NO2,1.2074,31.893,31.702,0.0010484,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.050816
33.68,C2H4Br2,2.045,32.788,34.969,0.00094422,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.860244
38.16,C2H4Br2,2.169,34.944,35.79,0.00089629,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.860244
23.56,C2H4ClF,1.165,24.22,24.382,0.0016841,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.504547163
35.57,C2H4ClF,1.1675,27.644,27.915,0.0012455,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.504547163
24.66,C2H4Cl2,1.168,28.035,29.231,0.0013231,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.95904399999999
32.57,C2H4Cl2,1.256,30.484,32.163000000000004,0.0011136,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.95904399999999
34.02,C2H4Cl2O,1.312,32.411,34.863,0.0010986,2.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.95844899999999
9.97,C2H4F2,0.907,20.458,21.732,0.0029104,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.050050326
19.98,C2H4F2,0.8995,23.7,26.179,0.002541,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.050050326
93.41,C2H4N2O6,1.4843,48.752,41.167,0.0010135,2.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.06308
21.18,C2H4O,0.774,24.644,23.991,0.0016943,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.052649
23.54,C2H4O,0.862,23.825,25.697,0.0016874,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.052649
35.83,C2H4OS,1.059,31.747,34.464,0.0011425,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.11744900000001
26.99,C2H4O2,1.0432,33.732,23.33,0.0011071,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.052054
24.24,C2H4O2,0.967,26.039,28.186,0.0015396,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.052054
